vehicle_id,vehicle_name,location,vehicle_type,category,driver_name,status
SU-134-A-PK-341245,SU-134-A,A,Primary,Mini Tipper,,Active
SU-138-A-PK-341269,SU-138-A,A,Primary,Mini Tipper,,Active
SU-141-A-PK-341228,SU-141-A,A,Primary,Mini Tipper,,Active
SU-144-A-PK-341236,SU-144-A,A,Primary,Mini Tipper,,Active
SU-145-A-PK-341234,SU-145-A,A,Primary,Mini Tipper,,Active
SU-148-A-PK-341222,SU-148-A,A,Primary,Mini Tipper,,Active
SU-152-A-PK-341263,SU-152-A,A,Primary,Mini Tipper,,Active
SU-161-A-PK-341225,SU-161-A,A,Primary,Mini Tipper,,Active
SU-163-A-PK-341250,SU-163-A,A,Primary,Mini Tipper,,Active
SU-166-A-PK-341256,SU-166-A,A,Primary,Mini Tipper,,Active
WB-1-A-PK442640,WB-1-A Water Bouzer,A,Primary,Water Tanker,,Active
ML-21-A-MMC-04-CN01450,ML-21-A,A,Primary,Compactor,,Active
RK-2-A-NIL,RK-2-A,A,Primary,Rickshaw Loader,,Active
SUC-63-A-902000058,SUC-63-A,A,Primary,Sucking Mechine,,Active
SU-M1-A-SR308PK-395339,SU-M1-A Malaria,A,Primary,Mini Tipper,,Active
BL-7-D-322093,BL-7-D,D,Primary,Bike Loader,,Active
BL-9-D-517501,BL-9-D,D,Primary,Bike Loader,,Active
BL-19-D-8L000025,BL-19-D,D,Primary,Bike Loader,,Active
TRT-10/42-A-NOT AVALIBLE,TRT-10/42-A China,A,Primary,Tractor,,Active
TRT-77-A-22565513B4,TRT-77-A,A,Primary,Tractor,,Active
Jeep-4156-A-BJ75-0002145,Jeep-4156-A,A,Primary,Jeep,,Active
SARM-3-D-10823,SARM-3-D,D,Primary,Compactor,,Active
SARM-4-D-302000726,SARM-4-D,D,Primary,Compactor,,Active
SARM-5-D-702000733,SARM-5-D,D,Primary,Compactor,,Active
SARM-23-D-MMC-04-CL01453,SARM-23-D,D,Primary,Compactor,,Active
HARM-1-D-FMMFN62FM2J0008,HARM-1-D,D,Secondary,Compactor,,Active
HARM-3-D-NA,HARM-3-D,D,Secondary,Compactor,,Active
COM-2-D-20200001,COM-2-D,D,Primary,Compactor,,Active
COM-176-D-56200056,COM-176-D,D,Primary,Compactor,,Active
COM-95-D-902000304,COM-95-D,D,Primary,Compactor,,Active
COM-29-D-MMC-04-CL01451,COM-29-D,D,Primary,Compactor,,Active
TRTTS-1-E-NA,TRTTS-1-E,E,Primary,Tractor,,Active
PU-AA0954-E-NA,PU-AA0954-E,E,Primary,PickUp,,Active
ML-26-D-MMC04-CL01447,ML-26-D,D,Primary,Compactor,,Active
MS-2-D-DN402000162,MS-2-D,D,Primary,Mechanical Sweeper,,Active
SU-101-D-405339,SU-101-D,D,Primary,Mini Tipper,,Active
SU-102-D-405360,SU-102-D,D,Primary,Mini Tipper,,Active
SU-103-D-405370,SU-103-D,D,Primary,Mini Tipper,,Active
SU-104-D-405350,SU-104-D,D,Primary,Mini Tipper,,Active
SU-105-D-405342,SU-105-D,D,Primary,Mini Tipper,,Active
SU-106-D-405368,SU-106-D,D,Primary,Mini Tipper,,Active
SU-107-D-405168,SU-107-D,D,Primary,Mini Tipper,,Active
SU-121-D-406771,SU-121-D,D,Primary,Mini Tipper,,Active
SU-122-D-406777,SU-122-D,D,Primary,Mini Tipper,,Active
SU-123-D-406798,SU-123-D,D,Primary,Mini Tipper,,Active
SU-124-D-406764,SU-124-D,D,Primary,Mini Tipper,,Active
SU-125-D-406731,SU-125-D,D,Primary,Mini Tipper,,Active
SU-126-D-476191,SU-126-D,D,Primary,Mini Tipper,,Active
SU-127-D-476212,SU-127-D,D,Primary,Mini Tipper,,Active
SU-128-D-476203,SU-128-D,D,Primary,Mini Tipper,,Active
SU-129-D-476209,SU-129-D,D,Primary,Mini Tipper,,Active
SU-130-D-4761176,SU-130-D,D,Primary,Mini Tipper,,Active
SU-131-D-476206,SU-131-D,D,Primary,Mini Tipper,,Active
SU-132-D-476196,SU-132-D,D,Primary,Mini Tipper,,Active
SU-133-D-476177,SU-133-D,D,Primary,Mini Tipper,,Active
SU-112-D-341295,SU-112-D,D,Primary,Mini Tipper,,Active
SU-2015-D-385188,SU-2015-D,D,Primary,Mini Tipper,,Active
FAW-8-D-PS119CC005268,FAW-8-D,D,Primary,Mini Tipper,,Active
FAW-9-D-PS119CC005272,FAW-9-D,D,Primary,Mini Tipper,,Active
FAW-10-D-PS119CC005271,FAW-10-D,D,Primary,Mini Tipper,,Active
Faw-11-D-PS119CC005267,Faw-11-D,D,Primary,Mini Tipper,,Active
FAW-12-D-PS119CC005266,FAW-12-D,D,Primary,Mini Tipper,,Active
FAW-13-D-PS119CC005270,FAW-13-D,D,Primary,Mini Tipper,,Active
FAW-13A-B-AHFMPS119CC005234,FAW-13A-B,B,Primary,Mini Tipper,,Active
FAW-14A-D-AHFMPS121CC005725,FAW-14A-D,D,Primary,Mini Tipper,,Active
FAW-15-D-AHFMPS117CC004058,FAW-15-D,D,Primary,Mini Tipper,,Active
FAW-14-D-PS119CC005267,FAW-14-D,D,Primary,Mini Tipper,,Active
PU-4025-D-9455406,PU-4025-D,D,Primary,PickUp,,Active
TRT-4-D-MILLAT M4,TRT-4-D,D,Primary,Tractor,,Active
TRTSVL-4-D-92018,TRTSVL-4-D,D,Primary,Tractor,,Active
TRT-37-D-5755907B4,TRT-37-D,D,Primary,Tractor,,Active
TRT-57-D-20518109N4,TRT-57-D,D,Primary,Tractor,,Active
TRT-15-D-487-12,TRT-15-D,D,Primary,Tractor,,Active
TRT-5-D-GSH-4315088,TRT-5-D,D,Primary,Tractor,,Active
TRT-6-D-GSH-4315053,TRT-6-D,D,Primary,Tractor,,Active
TRT-7-D-GSH-4315046,TRT-7-D,D,Primary,Tractor,,Active
TRT-8-D-GSH-4315060,TRT-8-D,D,Primary,Tractor,,Active
TRTSVL-5-D-GSF8242D-T,TRTSVL-5-D,D,Primary,Tractor,,Active
EXC-1-D-SY0061CC18028,EXC-1-D,D,Primary,EXCEVATOR,,Active
WB-4-D-PK442846,WB-4-D,D,Primary,Water Tanker,,Active
MWKSP-1-D-PK-476217,MWKSP-1-D,D,Primary,Mobile Workshop,,Active
HARM-4-E-FM2J000006,HARM-4-E,E,Primary,Compactor,,Active
BL-303-B,BL-303-B,B,Primary,Bike Loader,,Active
HARM-2-E-AHFMC-28T6220149,HARM-2-D,E,Secondary,Compactor,,Active
SARM-8-E-502001590,SARM-8-E,E,Primary,Compactor,,Active
SARM-16-E-102000744,SARM-16-E,E,Primary,Compactor,,Active
COM-188-E-JHHBFJ4H-302000055,COM-188-E,E,Primary,Compactor,,Active
COM-186-E-JHHBFJ4H-602000065,COM-186-E,E,Primary,Compactor,,Active
COM-178-E-J4H-802000066,COM-178-E,E,Primary,Compactor,,Active
COM-190-E-702000060,COM-190-E,E,Primary,Compactor,,Active
COM-80-E-502000171,COM-80-E,E,Primary,Compactor,,Active
COM-84-E-702000169,COM-84-E,E,Primary,Compactor,,Active
EXC-1-B-5007828,EXC-1-B,B,Primary,EXCEVATOR,,Active
SU-144-E-PK-406809,SU-144-E,E,Primary,Mini Tipper,,Active
SU-45-E-PK-406693,SU-45-E,E,Primary,Mini Tipper,,Active
SU-47-E-PK-406750,SU-47-E,E,Primary,Mini Tipper,,Active
SU-148-E-PK-406707,SU-148-E,E,Primary,Mini Tipper,,Active
SU-72-E-SR308PK-335664,SU-72-E,E,Primary,Mini Tipper,,Active
SU-157-E-SR308PK-341221,SU-157-E,E,Primary,Mini Tipper,,Active
SU-142-E-SR308PK-341229,SU-142-E,E,Primary,Mini Tipper,,Active
SU-149-E-SR308PK-341230,SU-149-E,E,Primary,Mini Tipper,,Active
SU-146-E-341233,SU-146-E,E,Primary,Mini Tipper,,Active
SU-123-E-SR308PK-341268,SU-123-E,E,Primary,Mini Tipper,,Active
SU-159-E-SR308PK-341249,SU-159-E,E,Primary,Mini Tipper,,Active
SU-139-E-SR308PK-3412478,SU-139-E,E,Primary,Mini Tipper,,Active
SU-133-E-SR308PK-341189,SU-133-E,E,Primary,Mini Tipper,,Active
SU-5-E-335658,SU-5-E,E,Primary,Mini Tipper,,Active
SU-74-E-335662,SU-74-E,E,Primary,Mini Tipper,,Active
SU-73-E-335660,SU-73-E,E,Primary,Mini Tipper,,Active
SU-1-E-335650,SU-1-E,E,Primary,Mini Tipper,,Active
SU-75-E-335651,SU-75-E,E,Primary,Mini Tipper,,Active
SU-71-E-335656,SU-71-E,E,Primary,Mini Tipper,,Active
FAW-32-E-AHFMPS121CC005695,FAW-32-E,E,Primary,Mini Tipper,,Active
FAW-30-E-AHFMPS121CC005670,FAW-30-E,E,Primary,Mini Tipper,,Active
FAW-28-E-AHFMPS121CC005731,FAW-28-E,E,Primary,Mini Tipper,,Active
FAW-31-E-AHFMPS121CC004072,FAW-31-E,E,Primary,Mini Tipper,,Active
FAW-33-E-AHFMPS121CC004055,FAW-33-E,E,Primary,Mini Tipper,,Active
FAW-29-E-AHFMPS121CC005287,FAW-29-E,E,Primary,Mini Tipper,,Active
TRT-11-E-NA,TRT-11-E,E,Primary,Tractor,,Active
TRT-49-E-NA,TRT-49-E,E,Primary,Tractor,,Active
TRT-52-E-NA,TRT-52-E,E,Primary,Tractor,,Active
TRTSVL-63-E-NA,TRTSVL-63-E,E,Primary,Tractor,,Active
BL-302-B,BL-302-B,B,Primary,Bike Loader,,Active
TRT-2-E-10608069659,TRT-2-E,E,Primary,Tractor,,Active
SARM-22-A-MMC-04CN-01449,SARM-22-A,A,Primary,Compactor,,Active
Com-180-A-JHHBFJ4H802000052,Com-180-A,A,Primary,Compactor,,Active
COM-79-A-JHHYFJ0H402000176,COM-79-A,A,Primary,Compactor,,Active
COM-82-A-JHHYFJOH302000170,COM-82-A,A,Primary,Compactor,,Active
COM-90-A-JHHYFJOH402000307,COM-90-A,A,Primary,Compactor,,Active
COM-92-A-JHHYFJ0H202000306,COM-92-A,A,Primary,Compactor,,Active
MS-81-A-JHHYFJOH802000164,MS-81-A,A,Primary,Mechanical Sweeper,,Active
TRT-3-A-71763/01/13,TRT-3-A Skip,A,Primary,Tractor,,Active
TRT-4-A-K71854/11/13,"TRT-4-A 	Skip",A,Primary,Tractor,,Active
FAW-1-A-AHFMPS121CC005700,FAW-1-A,A,Primary,Mini Tipper,,Active
FAW-2-A-AHFMPS121CC005806,FAW-2-A,A,Primary,Mini Tipper,,Active
FAW-3-A-AHFMPS117CC003639,FAW-3-A,A,Primary,Mini Tipper,,Active
SU-30-A-PK-406775,SU-30-A,A,Primary,Mini Tipper,,Active
SU-31-A-PK-406784,SU-31-A,A,Primary,Mini Tipper,,Active
SU-32-A-406768,SU-32-A,A,Primary,Mini Tipper,,Active
SU-35-A-PK406665,SU-35-A,A,Primary,Mini Tipper,,Active
SU-40-A-PK-406770,SU-40-A,A,Primary,Mini Tipper,,Active
SU-43-A-PK-406700,SU-43-A,A,Primary,Mini Tipper,,Active
SU-135-A-PK-341247,SU-135-A,A,Primary,Mini Tipper,,Active
SU-137-A-PK-341266,SU-137-A,A,Primary,Mini Tipper,,Active
SU-140-A-PK-341188,SU-140-A,A,Primary,Mini Tipper,,Active
BL-11-A-L6XHBM3B8L0000011,BL-11-A,A,Primary,Bike Loader,,Active
BL-28-A-L6XHBM3H9L0000026,BL-28-A,A,Primary,Bike Loader,,Active
TRT-50-A-NOT AVALIBLE,TRT-50-A,A,Primary,Tractor,,Active
TRT-1-A-84701/01/18,TRT-1-A SVL,A,Primary,Tractor,,Active
TRT-59-A-NOT AVALIBLE,TRT-59-A SVL,A,Primary,Tractor,,Active
TRTTS-2-A-24734513F4,TRTTS-2-A Sweeping,A,Primary,Tractor,,Active
TRT-1-A-K73006/06/18,TRT-1-A MESSI,A,Primary,Tractor,,Active
TRT-1-A-NOT AVALIBLE,TRT-1-A China,A,Primary,Tractor,,Active
TRT-3-A-NOT AVALIBLE,TRT-3-A China,A,Primary,Tractor,,Active
TRT-1-A-GSH-4315077,TRT-1-A New Holland,A,Primary,Tractor,,Active
TRT-2-A-GSH-4315054,TRT-2-A New Holland,A,Primary,Tractor,,Active
TRT-3-A-GSH-4315079,TRT-3-A New Holland,A,Primary,Tractor,,Active
TRT-4-A-GSH-4315082,TRT-4-A New Holland,A,Primary,Tractor,,Active
SVL-5-A-GSF-8243DT,SVL-5-A,A,Primary,Tractor Shavel,,Active
EXC-6-A-SY0061CC16098,EXC-6-A,A,Primary,EXCEVATOR,,Active
WB-4-A-NOT AVALIBLE,WB-4-A Water Tanker,A,Primary,Water Tanker,,Active
HARM-2-A-NOT AVALIBLE,HARM-2-A,A,Secondary,Compactor,,Active
HARM-3-A-,HARM-3-A,A,Secondary,Compactor,,Active
HARM-5-B-,HARM-5-B,B,Primary,Compactor,,Active
HARM-6-A-,HARM-6-A,A,Secondary,Compactor,,Active
MTS-1-A-RJ000018,MTS-1-A,A,Primary,MTS,,Active
HARM-1-B-FM8JNKD-46216,HARM-1-B,B,Secondary,Compactor,,Active
HARM-2-B-UFM12850,HARM-2-B,B,Secondary,Compactor,,Active
HARM-3-B-FM2J000005,HARM-3-B,B,Secondary,Compactor,,Active
SARM-24-B-MMC-04-CN01457,SARM-24-B,B,Primary,Compactor,,Active
SARM-25-B-MMC-04-1N01648,SARM-25-B,B,Primary,Compactor,,Active
SARM-7-B-402000740,SARM-7-B,B,Primary,Compactor,,Active
COM-97-B-341257,COM-97-B,B,Primary,Compactor,,Active
SU-168-B-341257,SU-168-B,B,Primary,Mini Tipper,,Active
COM-156-B-902000156,COM-156-B,B,Primary,Compactor,,Active
SU-174-B-902000156,SU-174-B,B,Primary,Mini Tipper,,Active
TRT-56-B-22904411F4,TRT-56-B,B,Primary,Tractor,,Active
TRT-58-B-22904411F4,TRT-58-B,B,Primary,Tractor,,Active
PICKUP-1201-B-N/A,PICKUP-1201-B,B,Primary,PickUp,,Active
SU-2325-B-N/A,SU-2325-B,B,Primary,Mini Tipper,,Active
RL-4-B,RL-4-B,B,Primary,Rickshaw Loader,,Active
COM-175-B-902000044,COM-175-B,B,Primary,Compactor,,Active
COM-181-B-2000062,COM-181-B,B,Primary,Compactor,,Active
COM-182-B-2000053,COM-182-B,B,Primary,Compactor,,Active
COM-183-B-702000057,COM-183-B,B,Primary,Compactor,,Active
Com-184-B-2000059,Com-184-B,B,Primary,Compactor,,Active
COM-185-B-402000047,COM-185-B,B,Primary,Compactor,,Active
COM-189-B-102000054,COM-189-B,B,Primary,Compactor,,Active
COM-191-B-902000058,COM-191-B,B,Primary,Compactor,,Active
COM-193-B-202000046,COM-193-B,B,Primary,Compactor,,Active
COM-1-B-J4H802000004,COM-1-B,B,Primary,Compactor,,Active
RL-7-B,RL-7-B,B,Primary,Rickshaw Loader,,Active
COM-174-B-200174,COM-174-B,B,Primary,Compactor,,Active
BL-19-B,BL-19-B,B,Primary,Bike Loader,,Active
Com-65-B-4034-N25360,Com-65-B,B,Primary,Compactor,,Active
RL-14-B,RL-14-B,B,Primary,Rickshaw Loader,,Active
COM-98-B-102000300,COM-98,B,Primary,Compactor,,Active
COM-99-B-802000309,COM-99-B,B,Primary,Compactor,,Active
BL-18-B,BL-18-B,B,Primary,Bike Loader,,Active
EXC-EX 02-E-CEWAA-008911,EXC-EX 02-E,E,Primary,EXCEVATOR,,Active
FEL-2-B-10019,FEL-2-B,B,Primary,Tractor Shavel,,Active
PICKUP-1025-B-JM6UFY02300253855,PICKUP-1025-B,B,Primary,PickUp,,Active
COM-64-B,COM-64-B,B,Primary,Compactor,,Active
BL-15-B,BL-15-B,B,Primary,Bike Loader,,Active
PU-4028-B-,PU-4028-B,B,Primary,PickUp,,Active
JM-83-B-702000054,JM-83-B,B,Primary,Jetting Mechine,,Active
MS-88-B,MS-88-B,B,Primary,Mechanical Sweeper,,Active
FAW-56-B-AHFMPS119CC005256,FAW-56-B,B,Secondary,Mini Tipper,,Active
SVL-61-B,SVL-61-B,B,Primary,Tractor Shavel,,Active
CT-1/33-B,CT-1/33-B,B,Primary,Tractor,,Active
WT-1-B,WT-1-B,B,Primary,Water Tanker,,Active
FAW-58-B-AHFMPS119CC005258,FAW-58-B,B,Primary,Mini Tipper,,Active
SU-1261-B-221749,SU-1261-B,B,Primary,Mini Tipper,,Active
BL-815-B,BL-815-B,B,Primary,Bike Loader,,Active
SU-67-B-335659,SU-67-B,B,Primary,Mini Tipper,,Active
SU-70-B-335655,SU-70-B,B,Primary,Mini Tipper,,Active
SU-158-B-341214,SU-158-B,B,Primary,Mini Tipper,,Active
SU-150-B-341218,SU-150-B,B,Primary,Mini Tipper,,Active
SU-113-B-341299,SU-113-B,B,Primary,Mini Tipper,,Active
SU-171-B-341255,SU-171-B,B,Primary,Mini Tipper,,Active
SU-147-B-341236,SU-147-B,B,Primary,Mini Tipper,,Active
SU-132-B-341281,SU-132-B,B,Primary,Mini Tipper,,Active
SU-118-B-341240,SU-118-B,B,Primary,Mini Tipper,,Active
SU-177-B-341192,SU-177-B,B,Primary,Mini Tipper,,Active
SU-167-B-341262,SU-167-B,B,Primary,Mini Tipper,,Active
SU-173-B-341215,SU-173-B,B,Primary,Mini Tipper,,Active
SU-179-B-341258,SU-179-B,B,Primary,Mini Tipper,,Active
SU-160-B-341239,SU-160-B,B,Primary,Mini Tipper,,Active
SU-178-B-341217,SU-178-B,B,Primary,Mini Tipper,,Active
SU-104-B-341288,SU-104-B,B,Primary,Mini Tipper,,Active
SU-176-B-341223,SU-176-B,B,Primary,Mini Tipper,,Active
SU-172-B-341176,SU-172-B,B,Primary,Mini Tipper,,Active
SU-182-B-341264,SU-182-B,B,Primary,Mini Tipper,,Active
RL-6-B,RL-6-B,B,Primary,Rickshaw Loader,,Active
SU-170-B-341220,SU-170-B,B,Primary,Mini Tipper,,Active
SU-143-B-341227,SU-143-B,B,Primary,Mini Tipper,,Active
SU-154-B-341260,SU-154-B,B,Primary,Mini Tipper,,Active
SU-125-B-341271,SU-125-B,B,Primary,Mini Tipper,,Active
SU-136-B-341248,SU-136-B,B,Primary,Mini Tipper,,Active
SU-164-B,SU-164-B,B,Primary,Mini Tipper,,Active
SU-156-B-341235,SU-156-B,B,Primary,Mini Tipper,,Active
SU-105-B-341289,SU-105-B,B,Primary,Mini Tipper,,Active
SU-181-B-341185,SU-181-B,B,Primary,Mini Tipper,,Active
SU-155-B-341251,SU-155-B,B,Primary,Mini Tipper,,Active
SU-180-B-341213,SU-180-B,B,Primary,Mini Tipper,,Active
SU-175-B,SU-175-B,B,Primary,Mini Tipper,,Active
SU-151-B-341224,SU-151-B,B,Primary,Mini Tipper,,Active
SU-169-B-341259,SU-169-B,B,Primary,Mini Tipper,,Active
SU-72-E-SR308PK-341219,SU-72-E,E,Primary,Mini Tipper,,Active
SU-1-E-230982,SU-1-E,E,Primary,Mini Tipper,,Active
TRTTS-1-E-71848/10/13,TRTTS-1-E,E,Primary,Tractor,,Active
PU-AA0954-E-KUN15R-9452274,PU-AA0954-E,E,Primary,PickUp,,Active
EXC-1-E-SY0061CC18038,EXC-1-E,E,Primary,EXCEVATOR,,Active
TRT-5037-E-GSH4315037,TRT-5037-E,E,Primary,Tractor,,Active
TRT-5038-E-GSH4315038,TRT-5038-E,E,Primary,Tractor,,Active
TRT-5041-E-GSH4315041,TRT-5041-E,E,Primary,Tractor,,Active
TRT-5091-E-GSH4315091,TRT-5091-E,E,Primary,Tractor,,Active
